char	index	unicode	strokes	sequence
句	0288	U+53E5	5	3;5;2;5;1
匆	0289	U+5306	5	3;5;3;3;4
犰	3549	U+72B0	5	3;5;3;3;5
册	0290	U+518C	5	3;5;3;5;1
卯	0291	U+536F	5	3;5;3;5;2
犯	0292	U+72AF	5	3;5;3;5;5
外	0293	U+5916	5	3;5;4;2;4
处	0294	U+5904	5	3;5;4;2;4
冬	0295	U+51AC	5	3;5;4;4;4
鸟	0296	U+9E1F	5	3;5;4;5;1
务	0297	U+52A1	5	3;5;4;5;3
刍	3550	U+520D	5	3;5;5;1;1
包	0298	U+5305	5	3;5;5;1;5
饥	0299	U+9965	5	3;5;5;3;5
主	0300	U+4E3B	5	4;1;1;2;1
冮	6514	U+51AE	5	4;1;1;2;1
市	0301	U+5E02	5	4;1;2;5;2
邝	3551	U+909D	5	4;1;3;5;2
立	0302	U+7ACB	5	4;1;4;3;1
冯	0303	U+51AF	5	4;1;5;5;1
邙	3552	U+9099	5	4;1;5;5;2
玄	0304	U+7384	5	4;1;5;5;4
闪	0305	U+95EA	5	4;2;5;3;4
兰	0306	U+5170	5	4;3;1;1;1
半	0307	U+534A	5	4;3;1;1;2
汁	0308	U+6C41	5	4;4;1;1;2
汀	3553	U+6C40	5	4;4;1;1;2
汇	0309	U+6C47	5	4;4;1;1;5
头	0310	U+5934	5	4;4;1;3;4
氿	6515	U+6C3F	5	4;4;1;3;5
汈	6516	U+6C48	5	4;4;1;5;1
汉	0311	U+6C49	5	4;4;1;5;4
氾	6517	U+6C3E	5	4;4;1;5;5
忉	6518	U+5FC9	5	4;4;2;5;3
宁	0312	U+5B81	5	4;4;5;1;2
穴	0313	U+7A74	5	4;4;5;3;4
它	0314	U+5B83	5	4;4;5;3;5
宄	6519	U+5B84	5	4;4;5;3;5
讦	3554	U+8BA6	5	4;5;1;1;2
𬣙	6520	U+2C8D9	5	4;5;1;1;2
讧	3555	U+8BA7	5	4;5;1;2;1
讨	0315	U+8BA8	5	4;5;1;2;4
写	0316	U+5199	5	4;5;1;5;1
让	0317	U+8BA9	5	4;5;2;1;1
礼	0318	U+793C	5	4;5;2;4;5
讪	3556	U+8BAA	5	4;5;2;5;2
讫	3557	U+8BAB	5	4;5;3;1;5
训	0319	U+8BAD	5	4;5;3;2;2
议	0320	U+8BAE	5	4;5;4;3;4
必	0321	U+5FC5	5	4;5;4;3;4
讯	0322	U+8BAF	5	4;5;5;1;2
记	0323	U+8BB0	5	4;5;5;1;5
永	0324	U+6C38	5	4;5;5;3;4
讱	6521	U+8BB1	5	4;5;5;3;4
司	0325	U+53F8	5	5;1;2;5;1
尼	0326	U+5C3C	5	5;1;3;3;5
尻	3558	U+5C3B	5	5;1;3;3;5
民	0327	U+6C11	5	5;1;5;1;5
弗	0328	U+5F17	5	5;1;5;3;2
弘	0329	U+5F18	5	5;1;5;5;4
出	0330	U+51FA	5	5;2;2;5;2
阡	3559	U+9621	5	5;2;3;1;2
辽	0331	U+8FBD	5	5;2;4;5;4
奶	0332	U+5976	5	5;3;1;5;3
奴	0333	U+5974	5	5;3;1;5;4
尕	3560	U+5C15	5	5;3;2;3;4
召	0334	U+53EC	5	5;3;2;5;1
加	0335	U+52A0	5	5;3;2;5;1
皮	0336	U+76AE	5	5;3;2;5;4
边	0337	U+8FB9	5	5;3;4;5;4
孕	0338	U+5B55	5	5;3;5;2;1
发	0339	U+53D1	5	5;3;5;4;4
圣	0340	U+5723	5	5;4;1;2;1
对	0341	U+5BF9	5	5;4;1;2;4
弁	3561	U+5F01	5	5;4;1;3;2
台	0342	U+53F0	5	5;4;2;5;1
矛	0343	U+77DB	5	5;4;5;2;3
纠	0344	U+7EA0	5	5;5;1;5;2
驭	3562	U+9A6D	5	5;5;1;5;4
母	0345	U+6BCD	5	5;5;4;1;4
幼	0346	U+5E7C	5	5;5;4;5;3
丝	0347	U+4E1D	5	5;5;5;5;1
匡	3563	U+5321	6	1;1;1;2;1;5
耒	3564	U+8012	6	1;1;1;2;3;4
邦	0348	U+90A6	6	1;1;1;3;5;2
玎	3565	U+738E	6	1;1;2;1;1;2
玑	3566	U+7391	6	1;1;2;1;3;5
式	0349	U+5F0F	6	1;1;2;1;5;4
迂	0350	U+8FC2	6	1;1;2;4;5;4
刑	0351	U+5211	6	1;1;3;2;2;2
邢	3567	U+90A2	6	1;1;3;2;5;2
戎	0352	U+620E	6	1;1;3;5;3;4
动	0353	U+52A8	6	1;1;5;4;5;3
圩	3568	U+5729	6	1;2;1;1;1;2
扞	6522	U+625E	6	1;2;1;1;1;2
圬	3569	U+572C	6	1;2;1;1;1;5
圭	3570	U+572D	6	1;2;1;1;2;1
扛	0354	U+625B	6	1;2;1;1;2;1
寺	0355	U+5BFA	6	1;2;1;1;2;4
吉	0356	U+5409	6	1;2;1;2;5;1
扣	0357	U+6263	6	1;2;1;2;5;1
圲	6523	U+5732	6	1;2;1;3;1;2
扦	3571	U+6266	6	1;2;1;3;1;2
考	0358	U+8003	6	1;2;1;3;1;5
圫	6524	U+572B	6	1;2;1;3;1;5
圪	3572	U+572A	6	1;2;1;3;1;5
托	0359	U+6258	6	1;2;1;3;1;5
圳	3573	U+5733	6	1;2;1;3;2;2
老	0360	U+8001	6	1;2;1;3;3;5
巩	0361	U+5DE9	6	1;2;1;3;5;4
圾	0362	U+573E	6	1;2;1;3;5;4
执	0363	U+6267	6	1;2;1;3;5;4
圹	3574	U+5739	6	1;2;1;4;1;3
扩	0364	U+6269	6	1;2;1;4;1;3
扪	3575	U+626A	6	1;2;1;4;2;5
扫	0365	U+626B	6	1;2;1;5;1;1
圮	3576	U+572E	6	1;2;1;5;1;5
圯	3577	U+572F	6	1;2;1;5;1;5
地	0366	U+5730	6	1;2;1;5;2;5
场	0367	U+573A	6	1;2;1;5;3;3
扬	0368	U+626C	6	1;2;1;5;3;3
耳	0369	U+8033	6	1;2;2;1;1;1
芋	0370	U+828B	6	1;2;2;1;1;2
芏	6525	U+828F	6	1;2;2;1;2;1
共	0371	U+5171	6	1;2;2;1;3;4
芊	3578	U+828A	6	1;2;2;3;1;2
芍	3579	U+828D	6	1;2;2;3;5;4
芃	6526	U+8283	6	1;2;2;3;5;4
芄	3580	U+8284	6	1;2;2;3;5;4
芨	3581	U+82A8	6	1;2;2;3;5;4
芒	0372	U+8292	6	1;2;2;4;1;5
亚	0373	U+4E9A	6	1;2;2;4;3;1
芝	0374	U+829D	6	1;2;2;4;5;4
芑	3582	U+8291	6	1;2;2;5;1;5
芎	3583	U+828E	6	1;2;2;5;1;5
芗	3584	U+8297	6	1;2;2;5;5;3
朽	0375	U+673D	6	1;2;3;4;1;5
朴	0376	U+6734	6	1;2;3;4;2;4
朳	6527	U+6733	6	1;2;3;4;3;4
机	0377	U+673A	6	1;2;3;4;3;5
朸	6528	U+6738	6	1;2;3;4;5;3
权	0378	U+6743	6	1;2;3;4;5;4
过	0379	U+8FC7	6	1;2;4;4;5;4
亘	3585	U+4E98	6	1;2;5;1;1;1
臣	0380	U+81E3	6	1;2;5;1;2;5
吏	0381	U+540F	6	1;2;5;1;3;4
再	0382	U+518D	6	1;2;5;2;1;1
协	0383	U+534F	6	1;2;5;3;4;4
西	0384	U+897F	6	1;2;5;3;5;1
𨙸	6529	U+28678	6	1;2;5;4;5;2
压	0385	U+538B	6	1;3;1;2;1;4
厌	0386	U+538C	6	1;3;1;3;4;4
厍	3586	U+538D	6	1;3;1;5;1;2
戌	0387	U+620C	6	1;3;1;5;3;4
在	0388	U+5728	6	1;3;2;1;2;1
百	0389	U+767E	6	1;3;2;5;1;1
有	0390	U+6709	6	1;3;2;5;1;1
存	0391	U+5B58	6	1;3;2;5;2;1
而	0392	U+800C	6	1;3;2;5;2;2
页	0393	U+9875	6	1;3;2;5;3;4
匠	0394	U+5320	6	1;3;3;1;2;5
夸	0395	U+5938	6	1;3;4;1;1;5
夺	0396	U+593A	6	1;3;4;1;2;4
夼	3587	U+593C	6	1;3;4;3;2;2
灰	0397	U+7070	6	1;3;4;3;3;4
达	0398	U+8FBE	6	1;3;4;4;5;4
戍	3588	U+620D	6	1;3;4;5;3;4
尥	3589	U+5C25	6	1;3;5;3;5;4
列	0399	U+5217	6	1;3;5;4;2;2
死	0400	U+6B7B	6	1;3;5;4;3;5
成	0401	U+6210	6	1;3;5;5;3;4
夹	0402	U+5939	6	1;4;3;1;3;4
夷	0403	U+5937	6	1;5;1;5;3;4
轨	0404	U+8F68	6	1;5;2;1;3;5
邪	0405	U+90AA	6	1;5;2;3;5;2
邨	6530	U+90A8	6	1;5;2;5;5;2
尧	0406	U+5C27	6	1;5;3;1;3;5
划	0407	U+5212	6	1;5;3;4;2;2
迈	0408	U+8FC8	6	1;5;3;4;5;4
